Type,"Category","Key","Korean","Description",Region,Image,Video,CustomPosition
Common,"","开封","개봉","",
Common,"","南门大街","남문 대로","",
Common,"","角门里","각문리","",
Common,"","百工坊","백공방","",
Common,"","勾栏瓦肆","연희 거리","",
Common,"","开封府","개봉부","",
Common,"","熔炉区","용광로 구역","",
Common,"","寿昌坊","수창방","",
Common,"","醉花阴","취화음","",
Common,"","清心圃","청심원","",
Common,"","六疾馆遗址","육병관 유적","",
Common,"","开封南郊","개봉 남쪽 외곽","",
Common,"","开封东郊","개봉 동쪽 외곽","",
Common,"","雾隐之林","안개숲","",
Common,"","白马津","백마 나루","",
Common,"","达安村","달안촌","",
Common,"","常平仓","상평창","",
Common,"","平野原","평야원","",
Common,"","造像处","조각소","",
Common,"","金明池","금명지","",
Common,"","开封皇宫","황궁"
Override,"17310010083","993729597440","조각소","{name} 해금하는 경계석."
Override,"17310010083","511686627328","무성왕묘","{name} 해금하는 경계석."
Override,"17310010083","637012430848","밀조실","{name} 해금하는 경계석."
Override,"17310010083","420468903936","회남 절벽","{name} 해금하는 경계석."
Override,"17310010083","347408183296","동남 막사","{name} 해금하는 경계석."
Override,"17310010083","720384901120","상평창","{name} 해금하는 경계석."
Override,"17310010083","134639529984","승은촌 북쪽","{name} 해금하는 경계석."
Override,"17310010083","41639227392","승은촌 남쪽","{name} 해금하는 경계석."
Override,"17310010083","823359258624","추명 산장","{name} 해금하는 경계석."
Override,"17310010083","933862391808","한탄령","{name} 해금하는 경계석."
Override,"17310010083","105401073664","천애객 · 곡창지대","{name} 해금하는 경계석."
Override,"17310010083","637874552832","임진 나루","{name} 해금하는 경계석."
Override,"17310010083","523814649856","달안촌","{name} 해금하는 경계석."
Override,"17310010083","413998718976","밀향 시장","{name} 해금하는 경계석."
Override,"17310010083","312643362816","목판소","{name} 해금하는 경계석."
Override,"17310010083","233064833024","홍구 운하","{name} 해금하는 경계석."
Override,"17310010083","753436680192","주작문","{name} 해금하는 경계석."
Override,"17310010083","53059215360","소생학당","{name} 해금하는 경계석."
Override,"17310010083","952500776960","승평교","{name} 해금하는 경계석."
Override,"17310010083","826140745728","각문리","{name} 해금하는 경계석."
Override,"17310010083","919703224320","동쪽 사거리","{name} 해금하는 경계석."
Override,"17310010083","982663921664","대상국사","{name} 해금하는 경계석."
Override,"17310010083","871127085056","개봉부","{name} 해금하는 경계석."
Override,"17310010083","649778651136","영건청","{name} 해금하는 경계석."
Override,"17310010083","774368686080","수창방","{name} 해금하는 경계석."
Override,"17310010083","195456000000","조문 대로","{name} 해금하는 경계석."
Override,"17310010083","700783816704","금수문 거리","{name} 해금하는 경계석."
Override,"17310010083","409518764032","취화음","{name} 해금하는 경계석."
Override,"17310010083","603635347456","태일궁","{name} 해금하는 경계석."
Override,"17310010083","518054768640","백화당","{name} 해금하는 경계석."
Override,"17310010083","212009127936","염화호","{name} 해금하는 경계석."
Override,"17310010083","321417408512","춘수각","{name} 해금하는 경계석."
Override,"17310010083","468152041472","영면의 무덤","{name} 해금하는 경계석."
Override,"17310010083","258550087680","안개숲 안","{name} 해금하는 경계석."
Override,"17310010083","346525614080","안개숲 동쪽","{name} 해금하는 경계석."
Override,"17310010083","169387573248","안개숲 북쪽","{name} 해금하는 경계석."
Override,"17310010083","860438528","장흥 시장","{name} 해금하는 경계석."
Override,"17310010083","927967629312","육병관","{name} 해금하는 경계석."
Override,"17310010083","845356617728","영행촌","{name} 해금하는 경계석."
Override,"17310010083","734450831360","백마 역참","{name} 해금하는 경계석."
Override,"17310010083","668268908544","청구촌","{name} 해금하는 경계석."
Override,"17310010083","609955500032","천상래 나루","{name} 해금하는 경계석."
Override,"17310010083","512584732672","적룡당","{name} 해금하는 경계석."
Override,"17310010083","571775188992","강변 장터","{name} 해금하는 경계석."
Override,"17310010083","396612665344","망선의 무덤","{name} 해금하는 경계석."
Override,"17310010083","480586964992","빙벽 나루","{name} 해금하는 경계석."
Override,"17310010083","925579743232","백어강","{name} 해금하는 경계석."
Override,"17310010083","12611690496","천고신룡전","{name} 해금하는 경계석."
Override,"17310010083","58115792896","용의 무덤(지하)","{name} 해금하는 경계석."
Override,"17310010083","93364625408","교룡진혼비 (지하)","{name} 해금하는 경계석."
Override,"17310010083","523290800128","버들 정원","{name} 해금하는 경계석."
Override,"17310010083","747971940352","만승촌 북쪽","{name} 해금하는 경계석."
Override,"17310010083","110458703872","만승촌 남쪽","{name} 해금하는 경계석."
Override,"17310010083","2165968896","봉명 수문","{name} 해금하는 경계석."
Override,"17310010083","668546834432","황궁 후원 북쪽","{name} 해금하는 경계석."
Override,"17310010083","773995831296","황궁 후원 남쪽","{name} 해금하는 경계석."
Override,"17310010083","600982556672","부의산","{name} 해금하는 경계석."
Override,"17310010083","517180362752","태악대","{name} 해금하는 경계석."
Override,"17310010083","450637729792","공허의 틈(지하)","{name} 해금하는 경계석."
Override,"17310010083","219942621184","장가 고택","{name} 해금하는 경계석."
Override,"17310010083","864852844544","회룡 역참","{name} 해금하는 경계석."
Override,"17310010083","891346636800","비화 나루","{name} 해금하는 경계석."
Override,"17310010083","801198460928","서남 막사","{name} 해금하는 경계석."
Override,"17310010083","725805846528","옥빛 연못","{name} 해금하는 경계석."
Override,"17310010083","913279754240","성곽 유적","{name} 해금하는 경계석."
Override,"17310010083","846422409216","귀문 시장","{name} 해금하는 경계석."
Override,"17310010083","804241125376","구류문 본부","{name} 해금하는 경계석."

Override,"17310010009","708613013504","실종된 방화견","담장을 뛰어넘지 말고 강아지를 데리고 처음부터 걸어 돌아오세요. 그렇지 않으면 임무가 실패합니다."
Override,"17310010006","752750551040","상자 (조각소)","먼저 종을 울린뒤, 비결 '금옥점혈수'를 통해 문을 해금하여 상자를 얻어야 합니다.","조각소"
Override,"17310010092","178263482368","견문 · 배움의 뜻 & 습유 문왕세자 ","자시에 척위와 대화하면 견문 · 배움의 뜻과 습유 · 문왕세자를 해금합니다.<hr><문왕세자>편은 <예기>에 수록된 글로, 송나라 이후 '삼례' 중 첫 번째에 위치했다. 이 편은 주나라 시대 세자 및 기타 귀족 자제들의 교육 방식을 다루며, 고대 교육이 덕행을 중시했던 전통을 드러낸다. <br><br>세자와 학사를 가르치는 데는 때가 있나니, 봄과 여름에는 무공 무용을 배우고 가을과 겨울에는 예의 무용을 배우며, 모두 동측의 학당에서 하느니라.<br>· 한나라 대성 <예기-문왕세자편>",,"./image/{id}.png"
